,Serial,Model,Target Timestamp,CLEANING-10W,CLEANING-9W,CLEANING-8W,CLEANING-7W,CLEANING-6W,CLEANING-5W,CLEANING-4W,CLEANING-3W,CLEANING-2W,CLEANING-1W,FAULT-10W,FAULT-9W,FAULT-8W,FAULT-7W,FAULT-6W,FAULT-5W,FAULT-4W,FAULT-3W,FAULT-2W,FAULT-1W,ngr1-10W,ngr1-9W,ngr1-8W,ngr1-7W,ngr1-6W,ngr1-5W,ngr1-4W,ngr1-3W,ngr1-2W,ngr1-1W,ngr2-10W,ngr2-9W,ngr2-8W,ngr2-7W,ngr2-6W,ngr2-5W,ngr2-4W,ngr2-3W,ngr2-2W,ngr2-1W,ngr3-10W,ngr3-9W,ngr3-8W,ngr3-7W,ngr3-6W,ngr3-5W,ngr3-4W,ngr3-3W,ngr3-2W,ngr3-1W,numacqua-10W,numacqua-9W,numacqua-8W,numacqua-7W,numacqua-6W,numacqua-5W,numacqua-4W,numacqua-3W,numacqua-2W,numacqua-1W,numcaffegenerale-10W,numcaffegenerale-9W,numcaffegenerale-8W,numcaffegenerale-7W,numcaffegenerale-6W,numcaffegenerale-5W,numcaffegenerale-4W,numcaffegenerale-3W,numcaffegenerale-2W,numcaffegenerale-1W,numcaffegr1-10W,numcaffegr1-9W,numcaffegr1-8W,numcaffegr1-7W,numcaffegr1-6W,numcaffegr1-5W,numcaffegr1-4W,numcaffegr1-3W,numcaffegr1-2W,numcaffegr1-1W,numcaffegr2-10W,numcaffegr2-9W,numcaffegr2-8W,numcaffegr2-7W,numcaffegr2-6W,numcaffegr2-5W,numcaffegr2-4W,numcaffegr2-3W,numcaffegr2-2W,numcaffegr2-1W,numcaffegr3-10W,numcaffegr3-9W,numcaffegr3-8W,numcaffegr3-7W,numcaffegr3-6W,numcaffegr3-5W,numcaffegr3-4W,numcaffegr3-3W,numcaffegr3-2W,numcaffegr3-1W,numcicligr1-10W,numcicligr1-9W,numcicligr1-8W,numcicligr1-7W,numcicligr1-6W,numcicligr1-5W,numcicligr1-4W,numcicligr1-3W,numcicligr1-2W,numcicligr1-1W,numlattefr-10W,numlattefr-9W,numlattefr-8W,numlattefr-7W,numlattefr-6W,numlattefr-5W,numlattefr-4W,numlattefr-3W,numlattefr-2W,numlattefr-1W,numlattegr1-10W,numlattegr1-9W,numlattegr1-8W,numlattegr1-7W,numlattegr1-6W,numlattegr1-5W,numlattegr1-4W,numlattegr1-3W,numlattegr1-2W,numlattegr1-1W,nummac1gr1-10W,nummac1gr1-9W,nummac1gr1-8W,nummac1gr1-7W,nummac1gr1-6W,nummac1gr1-5W,nummac1gr1-4W,nummac1gr1-3W,nummac1gr1-2W,nummac1gr1-1W,nummac2gr1-10W,nummac2gr1-9W,nummac2gr1-8W,nummac2gr1-7W,nummac2gr1-6W,nummac2gr1-5W,nummac2gr1-4W,nummac2gr1-3W,nummac2gr1-2W,nummac2gr1-1W,numvapore-10W,numvapore-9W,numvapore-8W,numvapore-7W,numvapore-6W,numvapore-5W,numvapore-4W,numvapore-3W,numvapore-2W,numvapore-1W,numvaporeariats-10W,numvaporeariats-9W,numvaporeariats-8W,numvaporeariats-7W,numvaporeariats-6W,numvaporeariats-5W,numvaporeariats-4W,numvaporeariats-3W,numvaporeariats-2W,numvaporeariats-1W,numvaporets-10W,numvaporets-9W,numvaporets-8W,numvaporets-7W,numvaporets-6W,numvaporets-5W,numvaporets-4W,numvaporets-3W,numvaporets-2W,numvaporets-1W,portatagr1-10W,portatagr1-9W,portatagr1-8W,portatagr1-7W,portatagr1-6W,portatagr1-5W,portatagr1-4W,portatagr1-3W,portatagr1-2W,portatagr1-1W,portatagr2-10W,portatagr2-9W,portatagr2-8W,portatagr2-7W,portatagr2-6W,portatagr2-5W,portatagr2-4W,portatagr2-3W,portatagr2-2W,portatagr2-1W,portatagr3-10W,portatagr3-9W,portatagr3-8W,portatagr3-7W,portatagr3-6W,portatagr3-5W,portatagr3-4W,portatagr3-3W,portatagr3-2W,portatagr3-1W,tempogr1-10W,tempogr1-9W,tempogr1-8W,tempogr1-7W,tempogr1-6W,tempogr1-5W,tempogr1-4W,tempogr1-3W,tempogr1-2W,tempogr1-1W,tempogr2-10W,tempogr2-9W,tempogr2-8W,tempogr2-7W,tempogr2-6W,tempogr2-5W,tempogr2-4W,tempogr2-3W,tempogr2-2W,tempogr2-1W,tempogr3-10W,tempogr3-9W,tempogr3-8W,tempogr3-7W,tempogr3-6W,tempogr3-5W,tempogr3-4W,tempogr3-3W,tempogr3-2W,tempogr3-1W,TARGET
10,1554481,model 20,2017-02-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,387.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,78.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-44.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,7.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3331.0,369.0,7362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,79.0,1905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.0,165.0,3057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,125.0,2400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5310001,1.5449982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.676003050000014,103.5140017,47.323005099999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45801120000001,-61.531003899999995,26.879000200000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.3999029999993,23.199951000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.7000589999992,899.0001340000001,2012.3001140000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774.0
11,1555490,model 13,2017-02-26 00:00:00,6.0,6.0,11.0,5.0,4.0,6.0,5.0,7.0,5.0,6.0,1161.0,484.0,137.0,414.0,1422.0,901.0,2026.0,1188.0,812.0,1020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,306.0,16.0,317.0,452.0,543.0,641.0,643.0,645.0,598.0,544.0,306.0,16.0,317.0,452.0,543.0,641.0,643.0,645.0,598.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.0,331.0,30.0,334.0,479.0,562.0,660.0,659.0,671.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,297.0,19.0,287.0,400.0,429.0,525.0,516.0,506.0,513.0,217.0,126.0,8.0,151.0,173.0,262.0,326.0,299.0,324.0,247.0,326.0,180.0,8.0,166.0,279.0,281.0,315.0,344.0,321.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2576.0
12,1558041,model 18,2017-02-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,1612713,model 18,2017-02-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,1625343,model 10,2017-02-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,1554481,model 20,2017-03-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,387.0,116.0,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,78.0,40.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-44.0,19.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,7.0,356.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,3331.0,369.0,7362.0,3746.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,79.0,1905.0,965.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.0,165.0,3057.0,1619.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,125.0,2400.0,1162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5310001,1.5449982,0.0,-6.007999260000006,0.0,0.0,0.0,0.0,0.0,0.0,4.676003050000014,103.5140017,47.323005099999996,-16.605996459999982,0.0,0.0,0.0,0.0,0.0,0.0,16.45801120000001,-61.531003899999995,26.879000200000004,-26.236993419999983,0.0,0.0,0.0,0.0,0.0,0.0,1947.3999029999993,23.199951000000002,0.0,-52.59972799999983,0.0,0.0,0.0,0.0,0.0,0.0,565.7000589999992,899.0001340000001,2012.3001140000001,-1097.9000710000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0
16,1555490,model 13,2017-03-05 00:00:00,6.0,11.0,5.0,4.0,6.0,5.0,7.0,5.0,6.0,6.0,484.0,137.0,414.0,1422.0,901.0,2026.0,1188.0,812.0,1020.0,2576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,16.0,317.0,452.0,543.0,641.0,643.0,645.0,598.0,604.0,306.0,16.0,317.0,452.0,543.0,641.0,643.0,645.0,598.0,604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.0,30.0,334.0,479.0,562.0,660.0,659.0,671.0,616.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,19.0,287.0,400.0,429.0,525.0,516.0,506.0,513.0,480.0,126.0,8.0,151.0,173.0,262.0,326.0,299.0,324.0,247.0,303.0,180.0,8.0,166.0,279.0,281.0,315.0,344.0,321.0,350.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.0
17,1558041,model 18,2017-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,1612713,model 18,2017-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
19,1625343,model 10,2017-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,1554481,model 20,2017-03-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1578.0,387.0,116.0,1774.0,925.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,-3.0,-16.0,0.0,0.0,0.0,0.0,0.0,-5.0,78.0,40.0,-41.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,-44.0,19.0,-21.0,80.0,0.0,0.0,0.0,0.0,0.0,173.0,7.0,356.0,226.0,42.0,0.0,0.0,0.0,0.0,0.0,3331.0,369.0,7362.0,3746.0,1429.0,0.0,0.0,0.0,0.0,0.0,923.0,79.0,1905.0,965.0,350.0,0.0,0.0,0.0,0.0,0.0,1402.0,165.0,3057.0,1619.0,602.0,0.0,0.0,0.0,0.0,0.0,1006.0,125.0,2400.0,1162.0,477.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5310001,1.5449982,0.0,-6.007999260000006,-19.2939953,0.0,0.0,0.0,0.0,0.0,4.676003050000014,103.5140017,47.323005099999996,-16.605996459999982,24.82799480000002,0.0,0.0,0.0,0.0,0.0,16.45801120000001,-61.531003899999995,26.879000200000004,-26.236993419999983,103.98800660000003,0.0,0.0,0.0,0.0,0.0,1947.3999029999993,23.199951000000002,0.0,-52.59972799999983,-585.3001419999999,0.0,0.0,0.0,0.0,0.0,565.7000589999992,899.0001340000001,2012.3001140000001,-1097.9000710000003,2409.799886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1555490,model 13,2017-03-12 00:00:00,11.0,5.0,4.0,6.0,5.0,7.0,5.0,6.0,6.0,9.0,137.0,414.0,1422.0,901.0,2026.0,1188.0,812.0,1020.0,2576.0,1216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,317.0,452.0,543.0,641.0,643.0,645.0,598.0,604.0,629.0,16.0,317.0,452.0,543.0,641.0,643.0,645.0,598.0,604.0,629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,334.0,479.0,562.0,660.0,659.0,671.0,616.0,621.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,287.0,400.0,429.0,525.0,516.0,506.0,513.0,480.0,506.0,8.0,151.0,173.0,262.0,326.0,299.0,324.0,247.0,303.0,294.0,8.0,166.0,279.0,281.0,315.0,344.0,321.0,350.0,300.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212.0
22,1558041,model 18,2017-03-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,1612713,model 18,2017-03-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
24,1625343,model 10,2017-03-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
